EliaQarṭ:MemPhiloxMab	de Halleux, André, ed. Elī de Qartamin. Memra sur S. Mar Philoxène de Mabbog. CSCO 233-234, Syri. 100-101. Leuven: Secrétariat du CorpusSCO, 1963.
EpArchimand&MonkstoThdsAl	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpArchimandArabiatoOrthBishs	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpEastArchimandtoJacBurd	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpEastArchimandtoOrthBishs&Clers	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpEastArchimandtoPaulAnt	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpEastArchimandtoThdsAl	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpEastBishopstoThdsAl	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpEastOrthBishstoOrthBishsConst	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpOrthBishsConst	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpOrthBishstoClars&PeopArabia	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
EpOrthBishstoOrthVarEpiarchies	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
Eph:Adden	Beck, Edmund. Nachträge zu Ephraem Syrus. CSCO 363-364, Syr. 159-160. Leuven: Secrétariat du CorpusSCO, 1975.
Eph:ComGen&Exd	Tonneau, Raymond Marie, ed. Sancti Ephraem Syri in Genesim et in Exodum commentarii. CSCO 152-153, Syr. 71-72. Leuven: L. Durbecq, 1955. (Leuven: Peeters, 1955.)
Eph:MadAbrKid&JulSaba	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen auf Abraham Kidunaya und Julianos Saba. CSCO 322-323, Syr. 140-141. Leuven: Secrétariat du CorpusSCO, 1972.
Eph:MadChur	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen de Ecclesia. CSCO 198-199, Syr. 84-85. Leuven: Secrétariat du CorpusSCO, 1960.
Eph:PaschHymn	Beck, Edmund. Des Heiligen Ephraem Des Syrers Paschahymnen (De Azymnis, De Crucifixione, De Resurrectione). Secrétariat du CorpusSCO, 1964.
Eph:MadFast	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen de Ieiunio. CSCO 246-247, Syr. 106-107. Leuven: Secrétariat du CorpusSCO, 1964.
Eph:MadLuqHeres	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen contra Haereses. CSCO 169-170, Syr. 76-77. Leuven: L. Durbecq, 1957. (Leuven: Secrétariat du CorpusSCO, 1957.)
Eph:MadNativ	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen de Nativitate (Epiphania). CSCO 186-187, Syr. 82-83. Leuven: Secrétariat du CorpusSCO, 1959.
Eph:MadParad&LuqJul	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen de Paradiso und contra Julianum. CSCO 174-175, Syr. 78-79. Leuven: Peeters, 1957. 
Eph:MadVirg	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen de Virginitate. CSCO 223-224, Syr. 94-95. Leuven: Secrétariat du CorpusSCO, 1962.
Eph:MemDomNostr	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Sermo de Domino Nostro. CSCO 270-271, Syr. 116-117. Leuven: Secrétariat du CorpusSCO, 1966.
